rank,Youtuber, subscribers , video views ,Country,Abbreviation,channel_type,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings
387,Family GamesTV,"20,200,000","7,066,711,323",unknown,unknown,Games,$0 ,$0 ,$0 ,$0 
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,"20,200,000","7,274,150,246",India,IN,Education,"$28,400 ","$453,700 ","$340,300 ","$5,400,000 "
389,dednahype,"20,200,000","20,919,403,720",Latvia,LV,Comedy,"$311,200 ","$5,000,000 ","$3,700,000 ","$59,800,000 "
390,Marta and Rustam,"20,200,000","19,694,265,358",United States,US,Comedy,"$113,100 ","$1,800,000 ","$1,400,000 ","$21,700,000 "
391,MiawAug,"20,200,000","6,098,644,584",Indonesia,ID,Games,"$16,100 ","$258,000 ","$193,500 ","$3,100,000 "
392,CookieSwirlC,"20,100,000","23,353,115,850",United States,US,Games,"$55,400 ","$886,800 ","$665,100 ","$10,600,000 "
393,Skrillex,"20,100,000","6,618,524,158",United States,US,Music,"$6,300 ","$101,100 ","$75,800 ","$1,200,000 "
394,AuthenticGames,"20,100,000","8,920,141,342",Brazil,BR,Games,"$1,400 ","$21,700 ","$16,300 ","$260,200 "
395,Robin Hood Gamer,"20,100,000","10,366,850,490",unknown,unknown,Games,$0 ,$0 ,$0 ,$0 
396,Pencilmation,"20,100,000","11,317,309,935",United States,US,Entertainment,"$3,700 ","$59,400 ","$44,600 ","$713,400 "
397,7clouds,"20,100,000","14,816,075,927",United States,US,Music,"$69,200 ","$1,100,000 ","$830,300 ","$13,300,000 "
398,5-Minute Crafts PLAY,"20,100,000","6,119,294,270",United States,US,Howto,"$26,400 ","$423,100 ","$317,400 ","$5,100,000 "
399,Marvel Entertainment,"20,100,000","5,634,695,322",United States,US,Film,$0 ,$0 ,$0 ,$3 
400,BuzzFeedVideo,"20,100,000","17,913,237,851",United States,US,People,"$2,300 ","$36,400 ","$27,300 ","$437,400 "
401,REACT,"20,000,000","13,154,314,376",United States,US,Entertainment,"$5,800 ","$92,800 ","$69,600 ","$1,100,000 "
402,Vevo,"20,000,000","559,765,455",United States,US,Music,$333 ,"$5,300 ","$4,000 ","$63,900 "
403,Gordon Ramsay,"20,000,000","3,875,172,235",United Kingdom,GB,Entertainment,"$9,800 ","$156,900 ","$117,700 ","$1,900,000 "
404,Pentatonix,"20,000,000","6,033,295,543",Canada,CA,Entertainment,$0 ,$0 ,$0 ,$0 
405,Green Gold TV - Official Channel,"20,000,000","9,715,291,883",India,IN,Entertainment,$0 ,$0 ,$0 ,$0 
406,Gusttavo Lima Oficial,"19,900,000","13,917,423,958",Brazil,BR,Music,"$53,700 ","$859,200 ","$644,400 ","$10,300,000 "
407,HaerteTest,"19,800,000","3,234,880,084",Germany,DE,Tech,"$1,400 ","$22,600 ","$17,000 ","$271,200 "
408,Crafty Panda,"19,800,000","5,759,442,450",United States,US,Entertainment,"$1,500 ","$24,500 ","$18,400 ","$294,600 "
409,SOMOY TV,"19,800,000","12,293,479,945",United States,US,News,$4 ,$65 ,$49 ,$779 
410,JennaMarbles,"19,700,000","1,803,249,241",United States,US,Comedy,$942 ,"$15,100 ","$11,300 ","$180,900 "
411,Troom Troom Es,"19,700,000","7,452,667,615",unknown,unknown,Howto,"$7,300 ","$117,500 ","$88,200 ","$1,400,000 "
412,Official Pink Panther,"19,700,000","10,955,619,815",United States,US,Games,$0 ,$0 ,$0 ,$0 
413,Britain's Got Talent,"19,700,000","11,323,617,496",United Kingdom,GB,Entertainment,"$13,500 ","$216,800 ","$162,600 ","$2,600,000 "
414,SCTV,"19,700,000","9,808,676,159",United Kingdom,GB,Music,$0 ,$1 ,$1 ,$16 
415,AS Gaming,"19,600,000","2,851,024,430",United States,US,Games,$0 ,$0 ,$0 ,$1 
416,Sony AATH,"19,600,000","13,930,021,471",United States,US,Entertainment,"$68,600 ","$1,100,000 ","$822,600 ","$13,200,000 "
417,tabii Urdu,"19,600,000","8,779,729,549",Turkey,TR,Entertainment,"$27,700 ","$443,200 ","$332,400 ","$5,300,000 "
418,DaFuq!?Boom!,"19,600,000","7,906,181,776",United States,US,Entertainment,"$576,000 ","$9,200,000 ","$6,900,000 ","$110,600,000 "
419,Clash of Clans,"19,600,000","3,961,318,438",United States,US,Games,"$5,600 ","$89,200 ","$66,900 ","$1,100,000 "
420,RKD Studios,"19,500,000","5,234,251,168",India,IN,Entertainment,$0 ,$0 ,$0 ,$0 
421,DLS News,"19,400,000","2,255,542,592",India,IN,News,"$8,000 ","$128,400 ","$96,300 ","$1,500,000 "
422,JukiLop,"19,400,000","1,577,859,332",Mexico,MX,People,$595 ,"$9,500 ","$7,100 ","$114,300 "
423,etvteluguindia,"19,400,000","23,038,014,291",India,IN,Entertainment,"$68,200 ","$1,100,000 ","$818,800 ","$13,100,000 "
424,FIFA,"19,400,000","5,529,131,886",Switzerland,CH,Sports,"$14,700 ","$235,500 ","$176,600 ","$2,800,000 "
425,Manoj  parihar,"19,300,000","264,228,052",India,IN,Howto,"$9,300 ","$148,700 ","$111,500 ","$1,800,000 "
426,Vsauce,"19,300,000","2,897,907,132",unknown,unknown,Entertainment,"$17,400 ","$278,500 ","$208,800 ","$3,300,000 "
427,Unbox Therapy,"19,300,000","4,508,184,467",unknown,unknown,Tech,"$4,200 ","$66,900 ","$50,200 ","$802,500 "
428,shane,"19,200,000","4,329,121,104",United States,US,Comedy,$683 ,"$10,900 ","$8,200 ","$131,100 "
429,Sonotek,"19,200,000","7,590,582,024",India,IN,Music,"$7,200 ","$114,700 ","$86,000 ","$1,400,000 "
430,Jimmy Kimmel Live,"19,100,000","13,124,645,973",United States,US,Comedy,"$4,300 ","$69,000 ","$51,700 ","$827,600 "
431,TheOdd1sOut,"19,100,000","4,566,120,190",United States,US,Comedy,"$7,700 ","$123,900 ","$93,000 ","$1,500,000 "
432,Goldmines Great Indian Comedy,"19,100,000","5,194,942,269",unknown,unknown,Film,"$16,500 ","$263,700 ","$197,800 ","$3,200,000 "
433,Lil Nas X,"19,100,000","6,339,584,661",unknown,unknown,Music,"$11,500 ","$184,800 ","$138,600 ","$2,200,000 "
434,ýýýýýýýýýýýýýý ýýýý,"19,000,000","4,924,054,368",United States,US,Entertainment,"$5,400 ","$86,300 ","$64,800 ","$1,000,000 "
435,SUPER SLICK SLIME SAM,"19,000,000","7,229,175,322",Mexico,MX,Howto,"$30,800 ","$493,400 ","$370,000 ","$5,900,000 "
436,Wow Kidz Action,"19,000,000","8,281,724,393",India,IN,Entertainment,"$26,400 ","$422,800 ","$317,100 ","$5,100,000 "
437,Turma da Mï¿½ï¿½,"19,000,000","13,824,277,846",Brazil,BR,Film,"$19,200 ","$307,600 ","$230,700 ","$3,700,000 "
438,Calvin Harris,"19,000,000","16,014,044,618",United Kingdom,GB,Music,"$25,600 ","$409,600 ","$307,200 ","$4,900,000 "
439,KBS WORLD TV,"19,000,000","15,126,092,508",South Korea,KR,Entertainment,"$27,000 ","$432,000 ","$324,000 ","$5,200,000 "
440,HiMan,"18,900,000","2,855,519,150",Russia,RU,Entertainment,"$6,100 ","$98,300 ","$73,700 ","$1,200,000 "
441,Masha e o Urso,"18,900,000","8,301,731,337",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
442,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"18,900,000","9,813,245,108",Mexico,MX,Education,"$35,100 ","$561,600 ","$421,200 ","$6,700,000 "
443,TED-Ed,"18,800,000","3,654,621,568",United States,US,Education,"$7,500 ","$119,500 ","$89,600 ","$1,400,000 "
444,Sidemen,"18,800,000","5,257,834,105",United Kingdom,GB,Entertainment,"$19,500 ","$312,600 ","$234,500 ","$3,800,000 "
445,Cardi B,"18,800,000","7,634,430,188",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
446,Busy Fun Ltd,"18,800,000","7,762,077,012",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
447,Farruko,"18,800,000","9,573,641,299",United States,US,Music,"$24,400 ","$391,000 ","$293,300 ","$4,700,000 "
448,ýýýýýýýýýýýýýýýýýýýýýý,"18,800,000","9,594,188,708",Ukraine,UA,Entertainment,"$17,000 ","$272,000 ","$204,000 ","$3,300,000 "
449,Triggered Insaan,"18,800,000","3,276,891,538",India,IN,People,"$27,300 ","$436,100 ","$327,100 ","$5,200,000 "
450,CKN,"18,700,000","12,295,637,162",Spain,ES,Music,$0 ,$0 ,$0 ,$5 
451,Ali-A,"18,700,000","6,148,303,268",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
452,Shemaroo Comedy,"18,600,000","6,047,584,292",India,IN,Comedy,"$25,600 ","$409,700 ","$307,300 ","$4,900,000 "
453,Smile Family Spanish,"18,600,000","7,008,250,496",United States,US,Entertainment,"$10,800 ","$173,600 ","$130,200 ","$2,100,000 "
454,GRAMMY GOLD OFFICIAL,"18,600,000","20,196,704,276",Thailand,TH,Music,"$42,100 ","$674,400 ","$505,800 ","$8,100,000 "
455,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,"18,600,000","8,761,255,550",Saudi Arabia,SA,Games,"$10,800 ","$172,000 ","$129,000 ","$2,100,000 "
456,Dan-Sa / Daniel Saboya,"18,500,000","2,908,120,896",Brazil,BR,Music,$0 ,$0 ,$0 ,$0 
457,Marmok,"18,500,000","3,457,618,361",Russia,RU,Games,"$9,600 ","$153,100 ","$114,800 ","$1,800,000 "
458,The ACE Family,"18,500,000","4,558,380,251",unknown,unknown,People,$709 ,"$11,300 ","$8,500 ","$136,100 "
459,Like Nastya Vlog,"18,500,000","8,147,575,884",Russia,RU,People,"$12,200 ","$195,800 ","$146,800 ","$2,300,000 "
460,Willie Salim,"18,500,000","4,051,072,188",Indonesia,ID,People,"$49,300 ","$789,500 ","$592,100 ","$9,500,000 "
461,PDK Films,"18,400,000","4,120,324,310",United States,US,Entertainment,"$3,600 ","$57,700 ","$43,300 ","$692,600 "
462,TheWillyrex,"18,400,000","7,038,827,526",Spain,ES,Games,"$2,800 ","$44,000 ","$33,000 ","$528,200 "
463,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"18,400,000","11,544,297,793",Thailand,TH,Music,"$13,500 ","$216,500 ","$162,400 ","$2,600,000 "
464,Dhar Mann,"18,400,000","11,280,732,382",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
465,shakiraVEVO,"18,400,000","25,367,126,292",United States,US,Music,"$66,800 ","$1,100,000 ","$801,400 ","$12,800,000 "
466,Naisa Alifia Yuriza (N.A.Y),"18,300,000","1,606,834,186",Indonesia,ID,Entertainment,"$4,300 ","$68,300 ","$51,200 ","$819,000 "
467,Miley Cyrus,"18,300,000","7,760,819,588",United States,US,Entertainment,"$32,000 ","$511,900 ","$383,900 ","$6,100,000 "
468,IShowSpeed,"18,300,000","1,556,003,039",United States,US,Games,"$35,100 ","$561,000 ","$420,800 ","$6,700,000 "
469,Good Mythical Morning,"18,300,000","8,798,044,678",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
470,Bobby chourasiya,"18,200,000","9,937,823,152",unknown,unknown,People,"$117,000 ","$1,900,000 ","$1,400,000 ","$22,500,000 "
471,INCRï¿½ï¿,"18,200,000","3,213,324,455",Brazil,BR,Howto,"$4,500 ","$72,200 ","$54,100 ","$866,200 "
472,Jake Fellman,"18,100,000","13,378,360,425",United States,US,Entertainment,"$124,300 ","$2,000,000 ","$1,500,000 ","$23,900,000 "
473,GEN HALILINTAR,"18,100,000","3,306,242,674",Indonesia,ID,Entertainment,"$6,800 ","$109,200 ","$81,900 ","$1,300,000 "
474,SQUEEZIE,"18,100,000","9,983,065,083",France,FR,Entertainment,"$12,000 ","$192,400 ","$144,300 ","$2,300,000 "
475,Blippi - Educational Videos for Kids,"18,100,000","14,857,290,259",United States,US,Education,"$45,100 ","$721,600 ","$541,200 ","$8,700,000 "
476,officialpsy,"18,100,000","10,703,830,496",South Korea,KR,Music,"$16,200 ","$260,000 ","$195,000 ","$3,100,000 "
477,Ajay Sharma,"18,100,000","12,249,828,886",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
478,Manual do Mundo,"18,000,000","3,980,991,248",Brazil,BR,Tech,"$13,700 ","$219,100 ","$164,300 ","$2,600,000 "
479,How Ridiculous,"18,000,000","9,601,137,077",Australia,AU,Sports,"$97,800 ","$1,600,000 ","$1,200,000 ","$18,800,000 "
480,And TV,"18,000,000","15,412,333,005",United States,US,Entertainment,$0 ,$0 ,$0 ,$0 
481,Sebastiï¿½ï¿½ï¿½,"18,000,000","10,463,166,404",United States,US,Music,"$27,700 ","$443,100 ","$332,300 ","$5,300,000 "
482,SonyMusicSouthVEVO,"18,000,000","17,921,124,985",United States,US,Music,"$64,400 ","$1,000,000 ","$772,800 ","$12,400,000 "
483,TheGrefg,"18,000,000","6,404,852,037",Spain,ES,Games,"$11,000 ","$175,300 ","$131,500 ","$2,100,000 "
484,BeatboxJCOP,"18,000,000","8,716,982,055",unknown,unknown,Entertainment,"$343,800 ","$5,500,000 ","$4,100,000 ","$66,000,000 "
485,David Dobrik,"17,900,000","7,176,572,299",United States,US,People,"$2,200 ","$34,600 ","$26,000 ","$415,200 "
486,KatieAngel,"17,900,000","3,841,205,465",United States,US,Music,"$12,900 ","$206,700 ","$155,100 ","$2,500,000 "
487,RobleisIUTU,"17,900,000","5,168,721,499",Argentina,AR,Games,"$6,900 ","$110,200 ","$82,600 ","$1,300,000 "
488,Lele Pons,"17,900,000","5,244,917,119",United States,US,Entertainment,"$4,600 ","$74,200 ","$55,600 ","$890,300 "
489,Demi Lovato,"17,900,000","6,888,074,944",United States,US,Music,"$7,300 ","$116,700 ","$87,500 ","$1,400,000 "
490,Like Nastya VNM,"17,900,000","9,867,515,979",Vietnam,VN,Entertainment,"$21,100 ","$337,900 ","$253,400 ","$4,100,000 "
491,Jason Derulo,"17,900,000","9,887,116,267",United States,US,Music,"$112,000 ","$1,800,000 ","$1,300,000 ","$21,500,000 "
492,MGC Playhouse,"17,900,000","16,174,530,046",United States,US,Education,"$25,700 ","$410,500 ","$307,900 ","$4,900,000 "
493,Zuni and Family,"17,900,000","6,746,269,458",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
494,Priyal Kukreja,"17,800,000","11,057,945,183",India,IN,People,"$107,800 ","$1,700,000 ","$1,300,000 ","$20,700,000 "
495,MSA previously My Story Animated,"17,800,000","8,588,704,539",United States,US,People,$5 ,$83 ,$62 ,$994 
496,ýýýýýýýýý KIMPRO,"17,700,000","19,206,701,832",South Korea,KR,People,"$850,900 ","$13,600,000 ","$10,200,000 ","$163,400,000 "
497,Jane ASMR ï¿½ï¿½,"17,700,000","7,387,621,644",South Korea,KR,People,$0 ,$0 ,$0 ,$0 
498,ArianaGrandeVevo,"17,700,000","20,115,544,708",United States,US,Music,"$24,400 ","$389,700 ","$292,300 ","$4,700,000 "
499,jaanvi patel,"17,700,000","7,912,733,203",India,IN,People,"$86,700 ","$1,400,000 ","$1,000,000 ","$16,600,000 "
500,tanboy kun,"17,700,000","3,647,267,655",Indonesia,ID,Entertainment,"$12,000 ","$192,700 ","$144,500 ","$2,300,000 "
501,Lil Pump,"17,700,000","4,196,061,192",unknown,unknown,Music,$0 ,$0 ,$0 ,$0 
502,Porta dos Fundos,"17,700,000","7,739,048,000",Brazil,BR,Entertainment,"$8,800 ","$141,300 ","$106,000 ","$1,700,000 "
503,News 24,"17,700,000","8,396,875,537",Ukraine,UA,News,"$92,700 ","$1,500,000 ","$1,100,000 ","$17,800,000 "
504,Les' Copaque Production,"17,700,000","9,059,696,049",Malaysia,MY,Entertainment,"$29,400 ","$470,900 ","$353,200 ","$5,700,000 "
505,El Payaso Plim Plim,"17,700,000","17,247,584,185",Argentina,AR,Music,"$160,000 ","$2,600,000 ","$1,900,000 ","$30,700,000 "
506,zbing z.,"17,600,000","9,269,174,070",Thailand,TH,Games,"$13,800 ","$220,500 ","$165,400 ","$2,600,000 "
507,MissaSinfonia,"17,600,000","2,274,007,523",Mexico,MX,Comedy,"$6,900 ","$109,800 ","$82,300 ","$1,300,000 "
508,ýýýýýýýýý Liziqi,"17,600,000","2,977,741,577",China,CN,Howto,"$5,600 ","$89,400 ","$67,100 ","$1,100,000 "
509,The Game Theorists,"17,600,000","3,752,347,262",Australia,AU,unknown,$0 ,$0 ,$0 ,$0 
510,DeGoBooM,"17,600,000","6,306,204,566",Chile,CL,Games,"$25,100 ","$400,900 ","$300,600 ","$4,800,000 "
511,JFlaMusic,"17,600,000","3,802,280,098",South Korea,KR,Music,"$2,800 ","$44,400 ","$33,300 ","$532,700 "
512,FactTechz,"17,500,000","2,238,134,438",India,IN,Entertainment,"$5,300 ","$84,200 ","$63,200 ","$1,000,000 "
513,News18 India,"17,500,000","7,263,619,576",India,IN,News,"$98,500 ","$1,600,000 ","$1,200,000 ","$18,900,000 "
514,Fun For Kids TV - Hindi Rhymes,"17,500,000","7,612,385,622",India,IN,Entertainment,"$27,500 ","$439,400 ","$329,500 ","$5,300,000 "
515,IGN,"17,500,000","16,107,116,549",United States,US,Games,"$24,600 ","$393,400 ","$295,000 ","$4,700,000 "
516,Aphmau,"17,400,000","17,763,586,483",United States,US,Games,"$110,000 ","$1,800,000 ","$1,300,000 ","$21,100,000 "
517,AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"17,400,000","13,043,561,912",Thailand,TH,News,"$59,000 ","$944,000 ","$708,000 ","$11,300,000 "
518,ýýýýýýýýýýýýýýýý - Al-Remas,"17,400,000","11,144,195,464",Iraq,IQ,Music,"$28,300 ","$452,000 ","$339,000 ","$5,400,000 "
519,Koray Zeynep,"17,400,000","16,560,557,488",unknown,unknown,People,"$106,600 ","$1,700,000 ","$1,300,000 ","$20,500,000 "
520,Apple,"17,300,000","1,026,425,106",United States,US,Tech,"$11,600 ","$185,900 ","$139,500 ","$2,200,000 "
521,Stubborn Facts,"17,300,000","902,225,615",India,IN,Entertainment,$209 ,"$3,400 ","$2,500 ","$40,200 "
522,Taarak Mehta Ka Ooltah Chashmah,"17,300,000","11,371,738,047",India,IN,Entertainment,"$83,000 ","$1,300,000 ","$995,800 ","$15,900,000 "
523,HowToBasic,"17,300,000","3,684,816,159",Australia,AU,Howto,"$3,900 ","$62,100 ","$46,600 ","$745,200 "
524,PopularMMOs,"17,200,000","14,573,155,899",unknown,unknown,Games,"$3,800 ","$61,200 ","$45,900 ","$734,200 "
525,Marques Brownlee,"17,200,000","3,606,912,471",United States,US,Tech,"$13,100 ","$209,300 ","$157,000 ","$2,500,000 "
526,Anitta,"17,200,000","7,337,212,581",Brazil,BR,Music,"$18,200 ","$290,700 ","$218,100 ","$3,500,000 "
527,Jason Vlogs,"17,200,000","8,903,647,480",Australia,AU,People,$0 ,$0 ,$0 ,$1 
528,El Reino a Jugar,"17,200,000","11,445,492,404",Argentina,AR,Education,"$20,900 ","$334,800 ","$251,100 ","$4,000,000 "
529,Willyrex,"17,200,000","5,024,088,947",Spain,ES,Games,"$3,900 ","$61,600 ","$46,200 ","$739,500 "
530,TheBrianMaps,"17,100,000","4,448,334,716",Russia,RU,Entertainment,"$9,300 ","$148,700 ","$111,500 ","$1,800,000 "
531,TRANS TV Official,"17,100,000","9,710,962,528",Indonesia,ID,Entertainment,"$11,500 ","$183,200 ","$137,400 ","$2,200,000 "
532,Liza Koshy,"17,100,000","2,173,106,162",United States,US,Entertainment,$440 ,"$7,000 ","$5,300 ","$84,500 "
533,Queen Official,"17,000,000","10,847,948,832",United Kingdom,GB,Music,"$23,400 ","$375,100 ","$281,300 ","$4,500,000 "
534,Prajapati News,"17,000,000","1,001,465,469",India,IN,Entertainment,"$1,900 ","$30,500 ","$22,900 ","$366,100 "
535,Gaby and Alex,"17,000,000","8,229,883,114",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
536,LuisFonsiVEVO,"17,000,000","14,543,594,822",United States,US,Music,"$12,500 ","$199,300 ","$149,500 ","$2,400,000 "
537,Pop Chartbusters,"16,900,000","8,684,010,451",India,IN,Music,"$18,200 ","$291,600 ","$218,700 ","$3,500,000 "
538,Guava Juice,"16,900,000","9,111,000,228",United States,US,Entertainment,"$2,700 ","$43,600 ","$32,700 ","$522,600 "
539,EeOneGuy,"16,900,000","3,827,906,874",United States,US,Entertainment,$409 ,"$6,500 ","$4,900 ","$78,500 "
540,VICE,"16,900,000","4,609,753,237",United States,US,Entertainment,"$9,100 ","$145,400 ","$109,100 ","$1,700,000 "
541,Aayu and Pihu Show,"16,900,000","9,270,331,567",India,IN,People,"$22,400 ","$359,100 ","$269,300 ","$4,300,000 "
542,Danny Fitt,"16,900,000","9,544,277,833",United States,US,Entertainment,"$68,800 ","$1,100,000 ","$825,800 ","$13,200,000 "
543,Bispo Bruno Leonardo,"16,900,000","3,523,578,665",Brazil,BR,Nonprofit,"$37,400 ","$598,200 ","$448,600 ","$7,200,000 "
544,DeToxoMoroxo,"16,800,000","2,315,962,318",unknown,unknown,Music,$0 ,$0 ,$0 ,$0 
545,Doggy Doggy Cartoons,"16,800,000","6,518,418,501",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
546,deepesh zo,"16,800,000","7,206,462,713",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
547,Like Nastya IDN,"16,800,000","7,195,314,800",Indonesia,ID,Entertainment,"$10,700 ","$171,300 ","$128,500 ","$2,100,000 "
548,Gato Galactico | GALï¿½ï¿,"16,800,000","3,693,798,804",Brazil,BR,Entertainment,"$11,000 ","$176,500 ","$132,400 ","$2,100,000 "
549,Salman Noman,"16,700,000","10,393,037,902",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
550,CoryxKenshin,"16,700,000","7,102,965,621",United States,US,Games,"$26,300 ","$420,500 ","$315,300 ","$5,000,000 "
551,With Kids[ï¿½ï¿½ï¿½ï¿½ï,"16,700,000","8,826,138,204",United States,US,Entertainment,"$11,400 ","$182,800 ","$137,100 ","$2,200,000 "
552,Travis Scott,"16,700,000","7,979,736,581",United States,US,Music,$9 ,$150 ,$113 ,"$1,800 "
553,Tu COSMOPOLIS,"16,700,000","5,089,284,369",Mexico,MX,People,"$4,000 ","$64,600 ","$48,400 ","$774,700 "
554,Ivana Alawi,"16,600,000","1,318,442,641",Philippines,PH,People,"$3,800 ","$60,300 ","$45,200 ","$723,800 "
555,Werever2morro,"16,600,000","2,798,273,962",Mexico,MX,Games,$0 ,$0 ,$0 ,$0 
556,IDEAS EN 5 MINUTOS,"16,600,000","3,696,973,456",Spain,ES,unknown,$16 ,$262 ,$196 ,"$3,100 "
557,NMF News,"16,600,000","7,435,180,827",India,IN,News,"$14,800 ","$236,800 ","$177,600 ","$2,800,000 "
558,SriBalajiMovies,"16,600,000","9,439,857,193",India,IN,Entertainment,"$38,500 ","$616,200 ","$462,100 ","$7,400,000 "
559,Lahari Music - TSeries,"16,600,000","11,946,217,860",India,IN,Music,"$22,300 ","$356,000 ","$267,000 ","$4,300,000 "
560,Younes Zarou,"16,600,000","15,278,668,857",Germany,DE,Entertainment,"$154,300 ","$2,500,000 ","$1,900,000 ","$29,600,000 "
561,Jordan Matter,"16,600,000","5,819,508,534",United States,US,Entertainment,"$49,800 ","$796,100 ","$597,100 ","$9,600,000 "
562,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,"16,500,000","2,440,934,034",United States,US,Entertainment,"$5,500 ","$87,800 ","$65,900 ","$1,100,000 "
563,FailArmy,"16,500,000","3,037,260,680",United States,US,Entertainment,"$28,200 ","$451,900 ","$339,000 ","$5,400,000 "
564,BBC News Hindi,"16,500,000","7,043,235,131",India,IN,News,"$32,800 ","$524,800 ","$393,600 ","$6,300,000 "
565,FunFun Toy Doll TV,"16,500,000","7,406,207,930",United States,US,Entertainment,"$6,100 ","$97,500 ","$73,100 ","$1,200,000 "
566,Sandra Cires Art,"16,400,000","3,955,426,159",United States,US,Entertainment,"$4,500 ","$72,100 ","$54,100 ","$865,300 "
567,Kaykai Salaider,"16,400,000","4,434,679,706",Thailand,TH,Entertainment,"$2,300 ","$37,400 ","$28,000 ","$448,400 "
568,UFC - Ultimate Fighting Championship,"16,400,000","7,135,820,721",United States,US,Sports,"$33,300 ","$532,800 ","$399,600 ","$6,400,000 "
569,Ch7HD,"16,400,000","9,463,244,435",Thailand,TH,Entertainment,"$21,900 ","$351,000 ","$263,300 ","$4,200,000 "
570,RCTI - LAYAR DRAMA INDONESIA,"16,400,000","13,478,392,540",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
571,Alfredo Larin,"16,400,000","14,431,830,557",unknown,unknown,Entertainment,$0 ,$0 ,$0 ,$0 
572,GMMTV OFFICIALï¿½ï¿½,"16,400,000","12,844,432,341",Thailand,TH,Entertainment,"$45,300 ","$725,500 ","$544,100 ","$8,700,000 "
573,Matt Stonie,"16,300,000","3,527,627,264",United States,US,Entertainment,$7 ,$119 ,$89 ,"$1,400 "
574,Boyce Avenue,"16,300,000","6,578,828,147",United States,US,Music,"$7,200 ","$115,100 ","$86,400 ","$1,400,000 "
575,Camila Cabello,"16,300,000","6,613,422,635",United States,US,Music,"$10,700 ","$170,800 ","$128,100 ","$2,000,000 "
576,Little Mix,"16,300,000","7,520,242,626",United Kingdom,GB,Music,"$9,700 ","$154,400 ","$115,800 ","$1,900,000 "
577,SAM SMITH,"16,300,000","10,170,264,839",United Kingdom,GB,Entertainment,"$21,400 ","$343,100 ","$257,300 ","$4,100,000 "
578,Pitbull,"16,300,000","12,475,714,382",United States,US,Music,"$22,000 ","$352,000 ","$264,000 ","$4,200,000 "
579,Bollywood Classics,"16,300,000","7,141,825,267",India,IN,Music,"$37,900 ","$605,900 ","$454,400 ","$7,300,000 "
580,Technoblade,"16,300,000","1,656,452,554",United States,US,Games,"$4,500 ","$71,800 ","$53,800 ","$861,300 "
581,W2S,"16,300,000","4,768,370,464",United Kingdom,GB,Entertainment,$770 ,"$12,300 ","$9,200 ","$147,800 "
582,Jennifer Lopez,"16,200,000","10,227,242,833",United States,US,Music,"$15,900 ","$253,800 ","$190,300 ","$3,000,000 "
583,Kids Play,"16,200,000","8,091,706,232",United States,US,Entertainment,"$6,500 ","$103,600 ","$77,700 ","$1,200,000 "
584,T3ddy,"16,200,000","2,990,185,467",Brazil,BR,People,"$8,300 ","$132,100 ","$99,000 ","$1,600,000 "
585,JJ Olatunji,"16,200,000","4,076,692,623",United Kingdom,GB,Entertainment,"$7,000 ","$111,200 ","$83,400 ","$1,300,000 "
586,POPS Kids,"16,200,000","9,763,592,867",Vietnam,VN,Film,"$64,200 ","$1,000,000 ","$770,200 ","$12,300,000 "
587,Thairath Online,"16,200,000","14,563,841,315",Thailand,TH,News,"$56,200 ","$899,000 ","$674,300 ","$10,800,000 "
588,LEGO,"16,200,000","20,522,339,099",Singapore,SG,Entertainment,"$29,300 ","$468,800 ","$351,600 ","$5,600,000 "
589,XO TEAM,"16,200,000","14,784,781,923",United States,US,People,$9 ,$152 ,$114 ,"$1,800 "
590,AdMe,"16,200,000","4,488,680,903",Spain,ES,Music,$0 ,$0 ,$0 ,$0 
591,ExtraPolinesios,"16,200,000","4,813,127,504",unknown,unknown,People,$0 ,$2 ,$2 ,$24 
592,Dyland PROS,"16,100,000","1,517,638,132",Indonesia,ID,Games,"$2,400 ","$38,500 ","$28,900 ","$461,700 "
593,Live,"16,100,000",unknown,unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
594,Vlad and Niki ARA,"16,100,000","7,399,296,005",United States,US,Entertainment,"$8,000 ","$128,000 ","$96,000 ","$1,500,000 "
